chr,TnG_start,TnG_end,strand
chr1,4768477,4768517,+
chr1,6169344,6169363,+
chr1,6417733,6417755,+
chr1,6417776,6417798,+
chr1,6418005,6418019,+
chr1,7088362,7088400,+
chr1,7088744,7088760,+
chr1,7390153,7390186,+
chr1,7390205,7390298,+
chr1,7396998,7397021,+
chr1,7397112,7397172,+
chr1,7397300,7397329,+
chr1,7397353,7397370,+
chr1,7397491,7397600,+
chr1,9402970,9402998,+
chr1,9403119,9403150,+
chr1,9403156,9403182,+
chr1,9798859,9798901,+
chr1,10038294,10038308,+
chr1,10146958,10146977,+
chr1,10191728,10191768,+
chr1,10257827,10257860,+
chr1,10257865,10257887,+
chr1,11022190,11022206,+
chr1,11022409,11022433,+
chr1,12875433,12875455,+
chr1,13311822,13311844,+
chr1,13311880,13311902,+
chr1,13311913,13311935,+
chr1,13383779,13383801,+
chr1,15985204,15985223,+
chr1,16029356,16029385,+
chr1,16029482,16029504,+
chr1,16613656,16613697,+
chr1,16613858,16613877,+
chr1,16688353,16688385,+
chr1,20825336,20825358,+
chr1,20933576,20933590,+
chr1,21309182,21309204,+
chr1,21333479,21333501,+
chr1,21333507,21333526,+
chr1,21333953,21333996,+
chr1,21334125,21334154,+
chr1,21963616,21963632,+
chr1,22081233,22081255,+
chr1,22081307,22081328,+
chr1,22427638,22427666,+
chr1,22653503,22653518,+
chr1,23915756,23915778,+
chr1,23916081,23916107,+
chr1,24678241,24678272,+
chr1,24838093,24838108,+
chr1,26965800,26965825,+
chr1,30920778,30920829,+
chr1,30920889,30920924,+
chr1,30921013,30921035,+
chr1,30921479,30921501,+
chr1,31262852,31262874,+
chr1,33453753,33453769,+
chr1,33453836,33453855,+
chr1,33684703,33684722,+
chr1,33684724,33684780,+
chr1,33883646,33883677,+
chr1,34006614,34006630,+
chr1,34029096,34029113,+
chr1,34434203,34434254,+
chr1,34434285,34434322,+
chr1,34434792,34434806,+
chr1,34462777,34462799,+
chr1,34545974,34545989,+
chr1,35653346,35653368,+
chr1,36068059,36068081,+
chr1,36264369,36264401,+
chr1,36266991,36267013,+
chr1,36511515,36511547,+
