chr,start,end,group
chr1,4949434,4949452,4
chr1,6044017,6044035,4
chr1,7088364,7088382,11
chr1,7396997,7397015,1
chr1,7397127,7397145,1
chr1,7396987,7397005,2
chr1,7396981,7396999,11
chr1,7397304,7397322,11
chr1,7396998,7397016,12
chr1,7397128,7397146,12
chr1,10191738,10191756,11
chr1,10191877,10191895,13
chr1,16029360,16029378,2
chr1,17955484,17955502,4
chr1,23694122,23694140,2
chr1,23694164,23694182,2
chr1,24678251,24678269,2
chr1,31386238,31386256,4
chr1,33883651,33883669,1
chr1,33883652,33883670,12
chr1,34434229,34434247,2
chr1,34843936,34843954,13
chr1,34843948,34843966,39
chr1,36470694,36470712,1
chr1,36470712,36470730,1
chr1,36470695,36470713,12
chr1,36470713,36470731,12
chr1,38130361,38130379,2
chr1,39577707,39577725,3
chr1,39577704,39577722,11
chr1,39577708,39577726,14
chr1,39902467,39902485,1
chr1,39902468,39902486,12
chr1,40399584,40399602,2
chr1,40476071,40476089,93
chr1,43538958,43538976,36
chr1,43826903,43826921,11
chr1,46939514,46939532,88
chr1,48817388,48817406,1
chr1,48817549,48817567,4
chr1,48817389,48817407,12
chr1,51584566,51584584,31
chr1,51584560,51584578,33
chr1,52004751,52004769,57
chr1,52004751,52004769,60
chr1,52009355,52009373,13
chr1,53774094,53774112,11
chr1,53774248,53774266,18
chr1,53774248,53774266,19
chr1,53774236,53774254,31
chr1,53808407,53808425,72
chr1,53875939,53875957,2
chr1,53875949,53875967,3
chr1,53875955,53875973,13
chr1,53875950,53875968,14
chr1,53875982,53876000,33
chr1,54584784,54584802,24
chr1,55130516,55130534,1
chr1,55130517,55130535,12
chr1,55446916,55446934,2
chr1,55446936,55446954,2
chr1,60016421,60016439,2
chr1,60652606,60652624,11
chr1,60713707,60713725,2
chr1,60745975,60745993,82
chr1,60758658,60758676,31
chr1,60761273,60761291,2
chr1,60761284,60761302,11
chr1,60911629,60911647,33
chr1,61102565,61102583,36
chr1,61102565,61102583,39
chr1,64088156,64088174,72
chr1,64088156,64088174,82
chr1,64120746,64120764,13
chr1,64120988,64121006,40
chr1,64956367,64956385,1
chr1,64956368,64956386,12
chr1,64970871,64970889,7
chr1,64970871,64970889,10
chr1,66864012,66864030,31
chr1,68407644,68407662,4
chr1,69545170,69545188,91
chr1,69555262,69555280,11
chr1,69609079,69609097,22
chr1,69643830,69643848,79
chr1,69667423,69667441,11
chr1,69667435,69667453,13
chr1,69667009,69667027,16
chr1,69681332,69681350,2
chr1,69686620,69686638,1
chr1,69686621,69686639,12
chr1,79751820,79751838,3
chr1,79751813,79751831,11
chr1,79751821,79751839,14
chr1,79752339,79752357,74
chr1,79761889,79761907,11
chr1,79761895,79761913,13
chr1,79761903,79761921,22
chr1,82725607,82725625,1
chr1,82725590,82725608,11
chr1,82725608,82725626,12
chr1,82833959,82833977,11
chr1,82833964,82833982,21
chr1,82833965,82833983,32
chr1,82974117,82974135,18
chr1,85739734,85739752,11
chr1,86526506,86526524,24
chr1,87829425,87829443,7
chr1,87847523,87847541,2
chr1,87847547,87847565,2
chr1,87847536,87847554,21
chr1,87847537,87847555,32
chr1,88553688,88553706,77
chr1,88553688,88553706,87
chr1,88705359,88705377,88
chr1,88709137,88709155,31
chr1,90602894,90602912,87
chr1,90695562,90695580,21
chr1,90695563,90695581,32
chr1,92069590,92069608,72
chr1,92079729,92079747,18
chr1,94034814,94034832,3
chr1,94034811,94034829,11
chr1,94034815,94034833,14
chr1,95664982,95665000,1
chr1,95664983,95665001,12
chr1,95666640,95666658,22
chr1,102004261,102004279,1
chr1,102004262,102004280,12
chr1,106561070,106561088,68
chr1,106561070,106561088,69
chr1,106561070,106561088,98
chr1,106561070,106561088,99
chr1,106612599,106612617,4
chr1,106612174,106612192,11
chr1,106757957,106757975,42
chr1,106757956,106757974,71
chr1,106757957,106757975,92
chr1,118311595,118311613,39
chr1,121567973,121567991,91
chr1,125467485,125467503,11
chr1,125467503,125467521,11
chr1,127297250,127297268,9
chr1,127297251,127297269,17
chr1,127297251,127297269,20
chr1,131080679,131080697,9
chr1,131080680,131080698,17
chr1,131637543,131637561,2
chr1,131639288,131639306,2
chr1,131637521,131637539,13
chr1,131637532,131637550,21
chr1,131637533,131637551,32
chr1,132968734,132968752,22
chr1,136618570,136618588,11
chr1,137899742,137899760,2
chr1,138125472,138125490,29
chr1,138125473,138125491,37
chr1,138136160,138136178,1
chr1,138136161,138136179,12
chr1,138132024,138132042,21
chr1,138132593,138132611,22
chr1,138132025,138132043,32
chr1,138133308,138133326,64
chr1,138133307,138133325,83
chr1,138141411,138141429,77
chr1,138188524,138188542,84
chr1,138298540,138298558,1
chr1,138298541,138298559,12
chr1,138329060,138329078,2
chr1,138329080,138329098,2
chr1,138537206,138537224,11
chr1,138542777,138542795,71
chr1,138696048,138696066,61
chr1,140961710,140961728,4
chr1,143918707,143918725,7
chr1,144007034,144007052,2
chr1,144249284,144249302,87
chr1,144272855,144272873,11
chr1,144306728,144306746,63
chr1,144330111,144330129,9
chr1,144330112,144330130,17
chr1,147519568,147519586,19
chr1,151287654,151287672,11
chr1,152287732,152287750,4
chr1,153742395,153742413,2
chr1,155172952,155172970,56
chr1,155173116,155173134,56
chr1,155173233,155173251,56
chr1,155173325,155173343,56
chr1,155173371,155173389,56
chr1,155173536,155173554,56
chr1,155173651,155173669,56
chr1,155172952,155172970,59
chr1,155173116,155173134,59
chr1,155173233,155173251,59
chr1,155173325,155173343,59
chr1,155173371,155173389,59
chr1,155173536,155173554,59
chr1,155173651,155173669,59
chr1,155172987,155173005,66
chr1,155173128,155173146,66
chr1,155173337,155173355,66
chr1,155173383,155173401,66
chr1,156906115,156906133,28
chr1,156906115,156906133,29
chr1,156906116,156906134,37
chr1,156938602,156938620,1
chr1,156938636,156938654,4
chr1,156938603,156938621,12
chr1,156986663,156986681,1
chr1,156986670,156986688,3
chr1,156986664,156986682,12
chr1,156986679,156986697,13
chr1,156986671,156986689,14
chr1,160042685,160042703,26
chr1,160042686,160042704,40
chr1,160045122,160045140,2
chr1,160047017,160047035,31
chr1,160247302,160247320,1
chr1,160247320,160247338,3
chr1,160247324,160247342,4
chr1,160247636,160247654,4
chr1,160247303,160247321,12
chr1,160247329,160247347,13
chr1,160247321,160247339,14
chr1,160247332,160247350,33
chr1,160306281,160306299,1
chr1,160306387,160306405,1
chr1,160306605,160306623,3
chr1,160308733,160308751,7
chr1,160306282,160306300,12
chr1,160306388,160306406,12
chr1,160306399,160306417,13
chr1,160306606,160306624,14
chr1,160306402,160306420,33
chr1,161071884,161071902,2
chr1,161670685,161670703,11
chr1,161704727,161704745,1
chr1,161704728,161704746,12
chr1,161787800,161787818,13
chr1,161787803,161787821,33
