,chr,TnG_start,TnG_end,strand
0,chr1,4496462,4496479,+
1,chr1,5082892,5082917,+
2,chr1,6214190,6214205,-
3,chr1,6442011,6442070,+
4,chr1,6454057,6454074,-
5,chr1,6454246,6454262,-
6,chr1,7005820,7005888,-
7,chr1,7088365,7088393,+
8,chr1,7088744,7088761,+
9,chr1,7089452,7089467,+
10,chr1,7090447,7090469,-
11,chr1,7090476,7090502,-
12,chr1,7394668,7394685,+
13,chr1,7394914,7394931,+
14,chr1,7395094,7395109,-
15,chr1,7395756,7395783,-
16,chr1,7396971,7397023,+
17,chr1,7397112,7397173,+
18,chr1,7397302,7397330,+
19,chr1,7397353,7397371,+
20,chr1,7397493,7397558,+
21,chr1,7397562,7397584,+
22,chr1,7414528,7414543,-
23,chr1,9235733,9235753,-
24,chr1,9236651,9236687,-
25,chr1,9522308,9522328,-
26,chr1,9522347,9522444,-
27,chr1,9700943,9700966,-
28,chr1,9729563,9729613,-
29,chr1,9747730,9747747,-
30,chr1,9747758,9747774,+
31,chr1,9847013,9847070,+
32,chr1,9847123,9847144,-
33,chr1,9849631,9849651,+
34,chr1,9849705,9849733,-
35,chr1,9863706,9863721,-
36,chr1,9883240,9883263,-
37,chr1,9883517,9883553,-
38,chr1,9944415,9944432,-
39,chr1,10038294,10038309,+
40,chr1,10038433,10038460,-
41,chr1,13267235,13267252,+
42,chr1,13267908,13267929,-
43,chr1,13288768,13288789,+
44,chr1,13293538,13293555,+
45,chr1,13293926,13293945,-
46,chr1,13294698,13294718,-
47,chr1,13295451,13295507,+
48,chr1,13311880,13311895,+
49,chr1,13311919,13311934,+
50,chr1,13312428,13312472,+
51,chr1,13374043,13374060,-
52,chr1,13395026,13395103,+
53,chr1,13559617,13559632,-
54,chr1,13590429,13590452,+
55,chr1,13593430,13593453,-
56,chr1,13593941,13593956,+
57,chr1,15806118,15806140,-
58,chr1,16200803,16200885,-
59,chr1,16217744,16217807,+
60,chr1,16227775,16227817,+
61,chr1,16619569,16619584,-
62,chr1,16688312,16688332,-
63,chr1,16688353,16688386,+
64,chr1,16689091,16689107,-
65,chr1,16689157,16689172,-
