chr,start,end,group
chr1,6442020,6442038,3
chr1,6442026,6442044,13
chr1,6442021,6442039,14
chr1,6442029,6442047,33
chr1,7088364,7088382,11
chr1,7396997,7397015,1
chr1,7397127,7397145,1
chr1,7396987,7397005,2
chr1,7396981,7396999,11
chr1,7397304,7397322,11
chr1,7396998,7397016,12
chr1,7397128,7397146,12
chr1,9847018,9847036,2
chr1,9847023,9847041,3
chr1,9847029,9847047,13
chr1,9847024,9847042,14
chr1,9847032,9847050,33
chr1,13288813,13288831,67
chr1,13288812,13288830,89
chr1,13295455,13295473,2
chr1,13295481,13295499,11
chr1,13312434,13312452,33
chr1,13395039,13395057,13
chr1,13395068,13395086,22
chr1,13395042,13395060,33
chr1,13395060,13395078,33
chr1,13395033,13395051,63
chr1,16217747,16217765,13
chr1,16217770,16217788,24
chr1,16217750,16217768,33
chr1,20943304,20943322,33
chr1,20969388,20969406,71
chr1,21029590,21029608,13
chr1,21140491,21140509,2
chr1,21140105,21140123,33
chr1,21140123,21140141,33
chr1,21140141,21140159,33
chr1,21480068,21480086,13
chr1,21480071,21480089,33
chr1,21480089,21480107,33
chr1,24678251,24678269,2
chr1,33578878,33578896,3
chr1,33578879,33578897,14
chr1,33813508,33813526,16
chr1,33883651,33883669,1
chr1,33883652,33883670,12
chr1,34434229,34434247,2
chr1,35709678,35709696,53
chr1,36256363,36256381,11
chr1,36256351,36256369,31
chr1,36256354,36256372,33
chr1,36260305,36260323,33
chr1,36470694,36470712,1
chr1,36470712,36470730,1
chr1,36470695,36470713,12
chr1,36470713,36470731,12
chr1,37478430,37478448,3
chr1,37478431,37478449,14
chr1,38130361,38130379,2
chr1,38149903,38149921,1
chr1,38149934,38149952,11
chr1,38149904,38149922,12
chr1,39090312,39090330,41
chr1,39101924,39101942,21
chr1,39101925,39101943,32
chr1,39577707,39577725,3
chr1,39577704,39577722,11
chr1,39577708,39577726,14
chr1,39902467,39902485,1
chr1,39902468,39902486,12
chr1,40081907,40081925,33
chr1,40081925,40081943,33
chr1,40383334,40383352,6
chr1,40476071,40476089,93
chr1,40751563,40751581,2
chr1,40751574,40751592,11
chr1,40751645,40751663,13
chr1,40751633,40751651,21
chr1,40751636,40751654,23
chr1,40751634,40751652,32
chr1,40751648,40751666,33
chr1,40751637,40751655,34
chr1,43538958,43538976,36
chr1,43826903,43826921,11
chr1,46894050,46894068,2
chr1,51104893,51104911,62
chr1,51104892,51104910,71
chr1,51104892,51104910,81
chr1,51104893,51104911,92
chr1,51578456,51578474,23
chr1,51578457,51578475,34
chr1,51584566,51584584,31
chr1,51584560,51584578,33
chr1,52009355,52009373,13
chr1,52578047,52578065,1
chr1,52578048,52578066,12
chr1,52654041,52654059,1
chr1,52654042,52654060,12
chr1,53168114,53168132,13
chr1,53168117,53168135,33
chr1,53168135,53168153,33
chr1,53774094,53774112,11
chr1,53774248,53774266,18
chr1,53774248,53774266,19
chr1,53774236,53774254,31
chr1,53875939,53875957,2
chr1,53875949,53875967,3
chr1,53875955,53875973,13
chr1,53875950,53875968,14
chr1,53875982,53876000,33
chr1,53906406,53906424,68
chr1,53946170,53946188,62
chr1,53946169,53946187,81
chr1,54422227,54422245,11
chr1,54492018,54492036,61
chr1,54859162,54859180,18
chr1,54859132,54859150,38
chr1,55028862,55028880,1
chr1,55028863,55028881,12
chr1,55052052,55052070,19
chr1,55423952,55423970,2
chr1,55423980,55423998,2
chr1,55423987,55424005,11
chr1,55423848,55423866,13
chr1,55423880,55423898,21
chr1,55423881,55423899,32
chr1,55423851,55423869,33
chr1,55423869,55423887,33
chr1,55446916,55446934,2
chr1,55446936,55446954,2
chr1,58714818,58714836,13
chr1,58714821,58714839,33
chr1,58714839,58714857,33
chr1,58714810,58714828,74
chr1,58965428,58965446,33
