chr,start,end,group
chr1,60978430,60978630,13
chr1,134473193,134473393,24
chr1,113776241,113776441,2
chr1,105838698,105838898,11
chr1,160058211,160058411,22
chr1,160058057,160058257,24
chr1,160058096,160058296,24
chr1,160058152,160058352,24
chr1,160058193,160058393,24
chr1,81375394,81375594,3
chr1,81375393,81375593,14
chr1,81375408,81375608,24
chr1,81375444,81375644,24
chr1,81375465,81375665,24
chr1,81375486,81375686,24
chr1,81375504,81375704,24
chr1,81375522,81375722,24
chr1,81375549,81375749,24
chr1,81375567,81375767,24
chr1,81375591,81375791,24
chr1,53350123,53350323,7
chr1,180355477,180355677,11
chr1,86393203,86393403,2
chr1,165200711,165200911,74
chr1,165200711,165200911,84
chr1,57436253,57436453,2
chr1,191275623,191275823,57
chr1,64088588,64088788,55
chr1,7390235,7390435,21
chr1,7390234,7390434,32
chr1,131038858,131039058,2
chr1,131038847,131039047,31
chr1,91021490,91021690,27
chr1,134382187,134382387,63
chr1,52076420,52076620,82
chr1,58742562,58742762,21
chr1,58742561,58742761,32
chr1,30699797,30699997,56
chr1,30699797,30699997,59
chr1,30699796,30699996,67
chr1,30699797,30699997,86
chr1,30699797,30699997,89
chr1,77940549,77940749,1
chr1,77940548,77940748,12
chr1,77940388,77940588,31
chr1,36267633,36267833,9
chr1,36267632,36267832,17
chr1,36267647,36267847,64
chr1,36267637,36267837,69
chr1,36267648,36267848,83
chr1,36267584,36267784,87
chr1,38363604,38363804,18
chr1,183040942,183041142,30
chr1,171917180,171917380,2
chr1,171917196,171917396,4
chr1,60541339,60541539,82
chr1,64308643,64308843,27
chr1,64308655,64308855,87
chr1,52302866,52303066,2
chr1,52302882,52303082,11
chr1,173680726,173680926,11
chr1,60759899,60760099,2
chr1,83006354,83006554,11
chr1,92774045,92774245,13
chr1,60003797,60003997,3
chr1,60003796,60003996,14
chr1,138973005,138973205,1
chr1,138973004,138973204,12
chr1,126763362,126763562,11
chr1,126763382,126763582,11
chr1,154118153,154118353,62
chr1,154118154,154118354,81
chr1,86405045,86405245,22
chr1,86405027,86405227,24
chr1,43519759,43519959,2
chr1,180359643,180359843,1
chr1,180359642,180359842,12
chr1,82803758,82803958,27
chr1,64301052,64301252,10
chr1,126780987,126781187,4
chr1,39944594,39944794,2
chr1,98093160,98093360,16
chr1,40381072,40381272,58
chr1,40381071,40381271,70
chr1,40381072,40381272,88
chr1,160042691,160042891,18
chr1,131278742,131278942,21
chr1,131278741,131278941,32
chr1,159952795,159952995,2
chr1,165251916,165252116,2
chr1,165251927,165252127,11
chr1,75248490,75248690,3
