chr,start,end,group
chr1,7005737,7005937,24
chr1,7005755,7005955,24
chr1,7005773,7005973,24
chr1,9236560,9236760,21
chr1,9236559,9236759,32
chr1,9522282,9522482,22
chr1,9522267,9522467,24
chr1,9522287,9522487,31
chr1,9700857,9701057,22
chr1,9729475,9729675,33
chr1,9883435,9883635,21
chr1,9883434,9883634,32
chr1,10038362,10038562,4
chr1,13302049,13302249,2
chr1,13589066,13589266,26
chr1,13589065,13589265,35
chr1,15806031,15806231,2
chr1,16200773,16200973,11
chr1,16200741,16200941,13
chr1,16200760,16200960,13
chr1,16200749,16200949,22
chr1,16200738,16200938,33
chr1,16200757,16200957,33
chr1,20969365,20969565,24
chr1,20969383,20969583,24
chr1,20969410,20969610,24
chr1,20969428,20969628,24
chr1,21480225,21480425,87
chr1,33669828,33670028,4
chr1,33670002,33670202,22
chr1,34428825,34429025,3
chr1,34428862,34429062,11
chr1,34428824,34429024,14
chr1,34428857,34429057,21
chr1,34428851,34429051,22
chr1,34428830,34429030,24
chr1,34428848,34429048,24
chr1,34428856,34429056,32
chr1,34843127,34843327,1
chr1,34843126,34843326,12
chr1,34843115,34843315,72
chr1,35816751,35816951,24
chr1,35862302,35862502,2
chr1,35943660,35943860,22
chr1,35944195,35944395,22
chr1,35944150,35944350,24
chr1,35944168,35944368,24
chr1,35944192,35944392,24
chr1,36309675,36309875,24
chr1,36797665,36797865,31
chr1,36920245,36920445,1
chr1,36920244,36920444,12
chr1,38664257,38664457,27
chr1,38664257,38664457,30
chr1,38664256,38664456,33
chr1,38898381,38898581,1
chr1,38898391,38898591,11
chr1,38898380,38898580,12
chr1,39842843,39843043,2
chr1,39902310,39902510,22
chr1,39902824,39903024,23
chr1,39902823,39903023,34
chr1,39936756,39936956,1
chr1,39936745,39936945,11
chr1,39936755,39936955,12
chr1,39944594,39944794,2
chr1,39955004,39955204,1
chr1,39955003,39955203,12
chr1,40381072,40381272,58
chr1,40381071,40381271,70
chr1,40381072,40381272,88
chr1,43403635,43403835,2
chr1,43451370,43451570,33
chr1,51071555,51071755,3
chr1,51071561,51071761,11
chr1,51071554,51071754,14
chr1,51071543,51071743,22
chr1,51071519,51071719,24
chr1,51071537,51071737,24
chr1,51071566,51071766,24
chr1,51071551,51071751,31
chr1,51071548,51071748,33
chr1,51121025,51121225,2
chr1,51578171,51578371,22
chr1,51586057,51586257,18
chr1,52009473,52009673,2
chr1,52008258,52008458,24
chr1,52116780,52116980,13
chr1,52650492,52650692,21
chr1,52650491,52650691,32
chr1,52653428,52653628,87
chr1,53076884,53077084,13
chr1,53076919,53077119,21
chr1,53076913,53077113,22
chr1,53076895,53077095,24
chr1,53076918,53077118,32
chr1,53728312,53728512,21
chr1,53728285,53728485,24
chr1,53728303,53728503,24
chr1,53728311,53728511,32
chr1,54493375,54493575,21
chr1,54493374,54493574,32
chr1,54585690,54585890,64
chr1,54585691,54585891,83
chr1,54585690,54585890,94
chr1,54913985,54914185,4
chr1,54914271,54914471,13
chr1,54922579,54922779,84
chr1,54925293,54925493,2
chr1,54925287,54925487,11
chr1,55030921,55031121,2
chr1,55030936,55031136,11
chr1,55405471,55405671,11
chr1,57436253,57436453,2
chr1,58303058,58303258,2
chr1,58310900,58311100,2
chr1,58713867,58714067,1
chr1,58714930,58715130,1
chr1,58714403,58714603,2
chr1,58713866,58714066,12
chr1,58714929,58715129,12
chr1,58714412,58714612,21
chr1,58712907,58713107,31
chr1,58714411,58714611,32
chr1,59316762,59316962,31
chr1,60074747,60074947,1
chr1,60074758,60074958,6
chr1,60074758,60074958,9
chr1,60074746,60074946,12
chr1,60074757,60074957,17
chr1,60352788,60352988,1
chr1,60352793,60352993,2
chr1,60352787,60352987,12
chr1,60759899,60760099,2
chr1,60761832,60762032,1
chr1,60761826,60762026,2
chr1,60761837,60762037,11
chr1,60761831,60762031,12
chr1,62876414,62876614,27
chr1,64088588,64088788,55
chr1,64121025,64121225,11
chr1,64120635,64120835,42
