chr,start,end,group
chr1,6441929,6442129,3
chr1,6441935,6442135,13
chr1,6441930,6442130,14
chr1,6441938,6442138,33
chr1,7088273,7088473,11
chr1,7396906,7397106,1
chr1,7397036,7397236,1
chr1,7396896,7397096,2
chr1,7396890,7397090,11
chr1,7397213,7397413,11
chr1,7396907,7397107,12
chr1,7397037,7397237,12
chr1,9846927,9847127,2
chr1,9846932,9847132,3
chr1,9846938,9847138,13
chr1,9846933,9847133,14
chr1,9846941,9847141,33
chr1,13288722,13288922,67
chr1,13288721,13288921,89
chr1,13295364,13295564,2
chr1,13295390,13295590,11
chr1,13312343,13312543,33
chr1,13394948,13395148,13
chr1,13394977,13395177,22
chr1,13394951,13395151,33
chr1,13394969,13395169,33
chr1,13394942,13395142,63
chr1,16217656,16217856,13
chr1,16217679,16217879,24
chr1,16217659,16217859,33
chr1,20943213,20943413,33
chr1,20969297,20969497,71
chr1,21029499,21029699,13
chr1,21140400,21140600,2
chr1,21140014,21140214,33
chr1,21140032,21140232,33
chr1,21140050,21140250,33
chr1,21479977,21480177,13
chr1,21479980,21480180,33
chr1,21479998,21480198,33
chr1,24678160,24678360,2
chr1,33578787,33578987,3
chr1,33578788,33578988,14
chr1,33813417,33813617,16
chr1,33883560,33883760,1
chr1,33883561,33883761,12
chr1,34434138,34434338,2
chr1,35709587,35709787,53
chr1,36256272,36256472,11
chr1,36256260,36256460,31
chr1,36256263,36256463,33
chr1,36260214,36260414,33
chr1,36470603,36470803,1
chr1,36470621,36470821,1
chr1,36470604,36470804,12
chr1,36470622,36470822,12
chr1,37478339,37478539,3
chr1,37478340,37478540,14
chr1,38130270,38130470,2
chr1,38149812,38150012,1
chr1,38149843,38150043,11
chr1,38149813,38150013,12
chr1,39090221,39090421,41
chr1,39101833,39102033,21
chr1,39101834,39102034,32
chr1,39577616,39577816,3
chr1,39577613,39577813,11
chr1,39577617,39577817,14
chr1,39902376,39902576,1
chr1,39902377,39902577,12
chr1,40081816,40082016,33
chr1,40081834,40082034,33
chr1,40383243,40383443,6
chr1,40475980,40476180,93
chr1,40751472,40751672,2
chr1,40751483,40751683,11
chr1,40751554,40751754,13
chr1,40751542,40751742,21
chr1,40751545,40751745,23
chr1,40751543,40751743,32
chr1,40751557,40751757,33
chr1,40751546,40751746,34
chr1,43538867,43539067,36
chr1,43826812,43827012,11
chr1,46893959,46894159,2
chr1,51104802,51105002,62
chr1,51104801,51105001,71
chr1,51104801,51105001,81
chr1,51104802,51105002,92
chr1,51578365,51578565,23
chr1,51578366,51578566,34
chr1,51584475,51584675,31
chr1,51584469,51584669,33
chr1,52009264,52009464,13
chr1,52577956,52578156,1
chr1,52577957,52578157,12
chr1,52653950,52654150,1
chr1,52653951,52654151,12
chr1,53168023,53168223,13
chr1,53168026,53168226,33
chr1,53168044,53168244,33
chr1,53774003,53774203,11
chr1,53774157,53774357,18
chr1,53774157,53774357,19
chr1,53774145,53774345,31
chr1,53875848,53876048,2
chr1,53875858,53876058,3
chr1,53875864,53876064,13
chr1,53875859,53876059,14
chr1,53875891,53876091,33
chr1,53906315,53906515,68
chr1,53946079,53946279,62
chr1,53946078,53946278,81
chr1,54422136,54422336,11
chr1,54491927,54492127,61
chr1,54859071,54859271,18
chr1,54859041,54859241,38
chr1,55028771,55028971,1
chr1,55028772,55028972,12
chr1,55051961,55052161,19
chr1,55423861,55424061,2
chr1,55423889,55424089,2
chr1,55423896,55424096,11
chr1,55423757,55423957,13
chr1,55423789,55423989,21
chr1,55423790,55423990,32
chr1,55423760,55423960,33
chr1,55423778,55423978,33
chr1,55446825,55447025,2
chr1,55446845,55447045,2
chr1,58714727,58714927,13
chr1,58714730,58714930,33
chr1,58714748,58714948,33
chr1,58714719,58714919,74
chr1,58965337,58965537,33
chr1,59602955,59603155,92
chr1,60016330,60016530,2
chr1,60073872,60074072,11
chr1,60495787,60495987,13
chr1,60495790,60495990,33
chr1,60652515,60652715,11
chr1,60664119,60664319,33
chr1,60664137,60664337,33
chr1,60745884,60746084,82
chr1,60747593,60747793,76
chr1,60758567,60758767,31
chr1,60911538,60911738,33
chr1,62873063,62873263,56
chr1,62875463,62875663,11
chr1,64088065,64088265,72
chr1,64088065,64088265,82
chr1,64120655,64120855,13
chr1,64120897,64121097,40
chr1,64123897,64124097,3
chr1,64123912,64124112,4
chr1,64123898,64124098,14
chr1,64123908,64124108,23
chr1,64123920,64124120,33
chr1,64123909,64124109,34
chr1,65010366,65010566,1
chr1,65010355,65010555,11
chr1,65010367,65010567,12
chr1,65010378,65010578,13
chr1,65010381,65010581,33
chr1,65010399,65010599,33
chr1,65186057,65186257,21
chr1,65186060,65186260,23
chr1,65186058,65186258,32
chr1,65186049,65186249,33
chr1,65186061,65186261,34
chr1,66024753,66024953,22
chr1,66678897,66679097,18
chr1,66678897,66679097,19
chr1,66838479,66838679,2
chr1,66838474,66838674,11
chr1,66863921,66864121,31
chr1,69681241,69681441,2
chr1,69686529,69686729,1
chr1,69686530,69686730,12
chr1,69785101,69785301,1
chr1,69785075,69785275,11
chr1,69785102,69785302,12
chr1,72243534,72243734,21
chr1,72243535,72243735,32
chr1,79751729,79751929,3
chr1,79751722,79751922,11
chr1,79751730,79751930,14
chr1,79752248,79752448,74
chr1,79761798,79761998,11
chr1,79761804,79762004,13
chr1,79761812,79762012,22
chr1,80361297,80361497,24
chr1,80858713,80858913,13
chr1,80858716,80858916,33
chr1,80858734,80858934,33
chr1,80858707,80858907,73
chr1,82282996,82283196,1
chr1,82282997,82283197,12
chr1,82974026,82974226,18
chr1,82975589,82975789,77
chr1,82975589,82975789,87
chr1,84305623,84305823,13
chr1,84305626,84305826,33
chr1,84780695,84780895,11
chr1,85680602,85680802,98
chr1,85730730,85730930,6
chr1,85730730,85730930,9
chr1,85730731,85730931,17
chr1,85730731,85730931,20
chr1,86526415,86526615,24
chr1,87829334,87829534,7
chr1,87847432,87847632,2
chr1,87847456,87847656,2
chr1,87847445,87847645,21
chr1,87847446,87847646,32
chr1,88553597,88553797,77
chr1,88553597,88553797,87
chr1,88581938,88582138,69
chr1,88581949,88582149,90
chr1,88626401,88626601,91
chr1,88644106,88644306,2
chr1,88647682,88647882,33
chr1,88647703,88647903,33
chr1,88705268,88705468,88
chr1,88709046,88709246,31
chr1,88720988,88721188,68
chr1,88720988,88721188,69
chr1,90602803,90603003,87
chr1,91181779,91181979,9
chr1,91181780,91181980,17
chr1,91183719,91183919,11
chr1,91183739,91183939,11
chr1,92069499,92069699,72
chr1,92079638,92079838,18
chr1,92179455,92179655,62
chr1,92179454,92179654,81
chr1,94034723,94034923,3
chr1,94034720,94034920,11
chr1,94034724,94034924,14
chr1,95664891,95665091,1
chr1,95664892,95665092,12
chr1,95666549,95666749,22
chr1,106494576,106494776,3
chr1,106494577,106494777,14
chr1,106494587,106494787,22
chr1,106494582,106494782,63
chr1,106612508,106612708,4
chr1,118311504,118311704,39
chr1,119082780,119082980,33
chr1,119082798,119082998,33
chr1,119178457,119178657,33
chr1,119178478,119178678,33
chr1,119178499,119178699,33
chr1,119178553,119178753,33
chr1,119178571,119178771,33
chr1,119178595,119178795,33
chr1,119178616,119178816,33
chr1,119178664,119178864,33
chr1,119178685,119178885,33
chr1,119178706,119178906,33
chr1,119178760,119178960,33
chr1,119178778,119178978,33
chr1,119178868,119179068,33
chr1,119178886,119179086,33
chr1,119178916,119179116,33
chr1,119178937,119179137,33
chr1,119476749,119476949,11
chr1,119912842,119913042,11
chr1,121567882,121568082,91
chr1,125467394,125467594,11
chr1,125467412,125467612,11
chr1,127212472,127212672,2
chr1,127297159,127297359,9
chr1,127297160,127297360,17
chr1,127297160,127297360,20
chr1,127321928,127322128,10
chr1,127850009,127850209,33
chr1,127954243,127954443,11
chr1,128604009,128604209,62
chr1,128604008,128604208,71
chr1,128604008,128604208,81
chr1,128950332,128950532,24
chr1,128950346,128950546,31
chr1,129615964,129616164,1
chr1,129615976,129616176,11
chr1,129615965,129616165,12
chr1,131074250,131074450,21
chr1,131074251,131074451,32
chr1,131080588,131080788,9
chr1,131080589,131080789,17
chr1,131195354,131195554,64
chr1,131195353,131195553,83
chr1,131290164,131290364,33
chr1,131290182,131290382,33
chr1,131492612,131492812,1
chr1,131492613,131492813,12
chr1,131639197,131639397,2
chr1,133545184,133545384,2
chr1,133661761,133661961,1
chr1,133661767,133661967,11
chr1,133661762,133661962,12
chr1,133711213,133711413,2
chr1,134708019,134708219,4
chr1,134708027,134708227,13
chr1,134708030,134708230,33
chr1,134708048,134708248,33
chr1,135712824,135713024,22
chr1,135712828,135713028,31
chr1,135712795,135712995,33
chr1,135712813,135713013,33
chr1,136618479,136618679,11
chr1,138125381,138125581,29
chr1,138125382,138125582,37
chr1,138131933,138132133,21
chr1,138131934,138132134,32
chr1,138136069,138136269,1
chr1,138136070,138136270,12
